"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"BB[193,1]",-4.11370216857177,1.71787940393971,-7.58038213264146,-5.24606253311622,-4.08270532707865,-2.91052809799458,-0.872688788750352,1.00201121903654,1900
"BB[194,1]",-4.09631820671031,1.59888020437628,-7.41268401542946,-5.13354324104868,-4.03038606551474,-2.95992453217657,-1.19309428683366,1.00128277265166,6300
"BB[195,1]",-0.433387547701345,1.16962310411457,-2.81330939647486,-1.18913541593563,-0.418234837510922,0.337210935452375,1.87118214366644,1.00121784325097,7900
"BB[196,1]",-3.36581082976387,1.55882720989346,-6.58253580983911,-4.38749789365107,-3.30422352748869,-2.26414988655242,-0.524674664103944,1.00149826251003,3800
"BB[197,1]",-1.63748416690553,1.3634020708408,-4.49529308354535,-2.51494642828498,-1.56324188331684,-0.692653651113958,0.803500939126041,1.00111207531181,14000
"BB[198,1]",0.00303716120912869,0.781316041651683,-1.54848225109976,-0.515890099980525,0.0156612454685311,0.521628478649187,1.53009530571091,1.00149257409021,3800
"BB[199,1]",-3.72867396897008,1.64045359473766,-7.11591490358086,-4.81199845016809,-3.66836085634547,-2.58752028511497,-0.687965265443027,1.00119390455354,8800
"BB[200,1]",-1.00687180351122,0.862527918653579,-2.79449289197834,-1.5593051751865,-0.968399046441351,-0.409303382645632,0.591745772229117,1.00105803489821,22000
"BB[201,1]",-1.83744977389212,1.53139022968542,-4.94683588520845,-2.83833169137586,-1.78580773746483,-0.791720694938196,1.04182681592834,1.00191376008271,2100
"BB[202,1]",3.18746159783704,1.21249746817414,0.988685321183663,2.33945050092569,3.13459410035263,3.95741517114339,5.71976303694784,1.00100629688528,45000
"BB[203,1]",-5.06223629016052,1.7484666198507,-8.58775226170759,-6.19542679808556,-5.02993505652268,-3.87322657996532,-1.7259208320728,1.00114827934744,11000
"BB[204,1]",0.696304885399809,1.46763190273921,-2.14217179512109,-0.289469352615605,0.663461534708392,1.65160309748342,3.69784423601134,1.00182513665273,2300
"BB[205,1]",-4.49095603293926,1.69015024485933,-7.9746319868769,-5.59795170808864,-4.4366823354768,-3.30826768005263,-1.3663401097932,1.00107532481729,18000
"BB[206,1]",-1.77597437390978,1.14088265339151,-4.19861798810686,-2.50060859776342,-1.72023842925227,-0.98727440509821,0.284225923917675,1.00131336887426,5800
"BB[207,1]",0.83297675853718,0.950480487917419,-0.967253357052539,0.195363986361261,0.789734165776872,1.44261667764534,2.77500145191622,1.00097296479819,45000
"BB[208,1]",0.101265224776418,1.02250341822691,-1.89788948284125,-0.580609272535674,0.0949592270879003,0.772858117317617,2.16631190214314,1.00110600298643,14000
"BB[209,1]",-2.78193631004376,1.5586184910029,-5.97651155274163,-3.80990184512683,-2.73617396385679,-1.71097762872248,0.11626431387434,1.00204775479992,1900
"BB[210,1]",1.46486165885666,1.08755057796523,-0.519464130819926,0.706916352096532,1.40158503260608,2.14904946166126,3.76821115672695,1.00107158901839,19000
"BB[211,1]",0.425328153383091,1.43688669238757,-2.34936480806106,-0.549536108747586,0.418389370247203,1.36931202168567,3.32812457115961,1.00116662283399,9900
"BB[212,1]",1.39242934530177,0.912837830716286,-0.280054483873626,0.764997671654728,1.35175509502597,1.97110321871068,3.3080964588404,1.00134510146375,5300
"BB[213,1]",-2.11618494265206,1.15137360902965,-4.58249080370078,-2.84321401618113,-2.04541521097627,-1.31370572313596,-0.048477238075689,1.00098228211024,45000
"BB[214,1]",-2.29258724174589,1.63767023802749,-5.55303140420012,-3.37712468121019,-2.25461505185649,-1.18127804377932,0.855591823375921,1.00114205955873,11000
"BB[215,1]",3.31326521032041,1.01484692264428,1.54240469639408,2.59934740160506,3.22993814678885,3.94463469502268,5.5298221098753,1.00125717060085,6900
"BB[216,1]",0.378843805154451,0.644593260261284,-0.85186389507482,-0.057191923952663,0.357489433282742,0.80119437177023,1.69030948226414,1.00136706107763,5000
"BB[217,1]",-4.04690705410983,1.34153990764191,-6.97191940563947,-4.89390448722489,-3.93413939064816,-3.07556610071795,-1.73310659868386,1.00107962198049,17000
"BB[218,1]",-3.69145298571737,1.44566211306682,-6.7277918474991,-4.60088563685177,-3.61370105107724,-2.6718453129156,-1.11243969781188,1.00101823765903,38000
"BB[219,1]",-3.32267498621639,1.58954317444702,-6.57416512410647,-4.36264834677699,-3.29242629233572,-2.21511306613249,-0.368380959216403,1.00120682901335,8300
"BB[220,1]",1.42178506230685,0.531271065456596,0.438247730675763,1.06013135360192,1.39981101861178,1.7607166422035,2.5351934802411,1.00145291589321,4100
"BB[221,1]",0.961269174347796,0.610350392512708,-0.177421648619716,0.547936775061062,0.940042599187161,1.35159426234396,2.24507143021254,1.0014307323159,4300
"BB[222,1]",-0.0944170476254418,0.594034525696096,-1.27577686835999,-0.494508774630331,-0.0883989723022895,0.299865431543542,1.07180109152593,1.00112107610613,13000
"BB[223,1]",-0.241767188085321,0.852701831611282,-1.96571195780625,-0.799721426189115,-0.236305237867334,0.329228856279861,1.41791392474958,1.00128427632174,6300
"BB[224,1]",1.28917216428268,0.557406533129929,0.253790035254613,0.908320177973372,1.26042556003782,1.64843036073241,2.44943392101508,1.00109810483506,15000
"BB[225,1]",-4.38703686864533,1.69200228782329,-7.752363651821,-5.49166492870583,-4.33441260943345,-3.22278063808369,-1.20079725891098,1.00150684814826,3700
"BB[226,1]",3.1361846916549,1.02598595696577,1.36236549717171,2.41135502947654,3.05128680440622,3.76820469323188,5.40318741278111,1.00171596023833,2700
"BB[227,1]",2.44811426369801,1.32291377772334,0.0710186910340203,1.53375613404603,2.37208660305492,3.27467890147701,5.2799007473621,1.00097427463646,45000
"BB[228,1]",-1.27095901423131,1.43316818073919,-4.22144673092821,-2.19130501769472,-1.20238398257677,-0.304625740539198,1.41218898613205,1.00108766733149,16000
"BB[229,1]",-0.952142257518407,1.48121363054632,-3.97906887071493,-1.92611154606075,-0.901643424589788,0.0593970326477745,1.85593631544653,1.00120436461643,8400
"BB[230,1]",-0.290368428628749,0.913868294243092,-2.13213609838637,-0.891479903422532,-0.277352792294392,0.319564533071136,1.46857085702227,1.00127756187582,6400
"BB[231,1]",-0.562685355901378,1.04193532597156,-2.68793539028024,-1.22746654763105,-0.524813704920385,0.132309081161736,1.42826387042804,1.00099838418985,45000
"BB[232,1]",1.83027125185873,0.897026286154239,0.223491957577613,1.22129077364401,1.76687298834597,2.38359201866725,3.77121750452344,1.00134799930735,5200
"BB[233,1]",-1.71382731634965,1.56994837887208,-4.92498308725795,-2.74021259439495,-1.67991431164611,-0.658534093550812,1.25599356772606,1.0010931737165,16000
"BB[234,1]",-2.82683205974046,1.1001300261246,-5.24052035077279,-3.50727181746726,-2.73179551211148,-2.04587802774424,-0.963121714215335,1.00100514749168,45000
"BB[235,1]",0.368319627892782,1.04077469616614,-1.66378939135219,-0.308925194773224,0.356899182534051,1.0380596606578,2.45990586429425,1.00145912841038,4100
"BB[236,1]",1.24838817042742,1.43357596078306,-1.48907766186097,0.295049765384236,1.19301655882042,2.16620017146625,4.21612540041347,1.00101179097523,43000
